№,Вид транспортного средства,Тип объекта,Наименование остановки,Официальное наименование,Расположение,Маршруты,Координаты
2709,Троллейбус,Остановка,"Универсам ""Невский""","Универсам ""Невский""",Большевиков,"33, 43","59.9162119351286,30.4741592"
2710,Троллейбус,Остановка,Пр. Народного Ополчения,Пр. Народного Ополчения,"Ленинский проспект, проспект Народного Ополчения","29, 32, 35, 44, 45, 46","59.8517179811141,30.2793694"
2711,Троллейбус,Остановка,Кушелевская дорога,Кушелевская дорога,"Кушелевская дорога, проспект Непокорённых",31,"59.9953359787332,30.3796024"
2712,Троллейбус,Остановка,"Ст. метро ""Проспект Большевиков""","Ст. метро ""Проспект Большевиков""","улица Коллонтай, проспект Пятилеток","33, 43","59.9192246908504,30.4672642"
2713,Троллейбус,Остановка,Ж.-д. платформа Ленинский проспект,Ж.-д. платформа Ленинский проспект,"Ленинский проспект, ЗСД","29, 35, 44, 45","59.8518380446134,30.2896824"
2714,Троллейбус,Остановка,Пр. Маршала Блюхера,Пр. Маршала Блюхера,"Кушелевская дорога, проспект Маршала Блюхера",31,"59.9867071076372,30.3651676"
2715,Троллейбус,Остановка,Клочков пер,Клочков пер,"Клочков переулок, улица Коллонтай",43,"59.9186461260254,30.4627132"
2716,Троллейбус,Остановка,Варшавская ул,Варшавская ул,"Ленинский проспект, Варшавская улица","27, 29, 35, 45","59.8519478165765,30.3155022"
2717,Троллейбус,Остановка,"Ленинский пр., 147","Ленинский пр., 147","Ленинский проспект, площадь Конституции","29, 35, 44, 45","59.8517968800339,30.2989521"
2718,Троллейбус,Остановка,Полюстровский пр,Полюстровский пр,"Кантемировская улица, Полюстровский проспект","18, 31","59.9866011969846,30.3562813"
2719,Троллейбус,Остановка,Пр. Пятилеток. Ледовый дворец,Пр. Пятилеток. Ледовый дворец,"проспект Пятилеток, Клочков переулок",43,"59.9207104265,30.4661446"
2720,Троллейбус,Остановка,"Ст. метро ""Московская""","Ст. метро ""Московская""","Московская площадь, Московский проспект","27, 29, 35, 45, 47","59.8508912464016,30.3230038"
2721,Троллейбус,Остановка,"Ст. метро ""Лесная""","Ст. метро ""Лесная""","Кантемировская, Парголовская","18, 31","59.9854942395592,30.3451481"
2722,Троллейбус,Остановка,Ул. Ленсовета,Ул. Ленсовета,"улица Типанова, улица Ленсовета","27, 29, 35, 45, 47","59.8520472971053,30.3317509"
2723,Троллейбус,Остановка,Лесной пр,Лесной пр,"Кантемировская, Лесной","18, 31","59.9850705793908,30.3406029"
2724,Троллейбус,Остановка,"Ул. Типанова, угол пр. Юрия Гагарина","Ул. Типанова, угол пр. Юрия Гагарина","улица Типанова, проспект Юрия Гагарина","27, 29, 35, 45, 47","59.8522462572706,30.3389149"
2725,Троллейбус,Остановка,Клочков пер,Клочков пер,"улица Коллонтай, Клочков переулок",33,"59.9180264684885,30.4623852"
2726,Троллейбус,Остановка,"Универсам ""Невский""","Универсам ""Невский""",проспект Большевиков,"33, 43","59.9155614178812,30.4742107"
2727,Троллейбус,Остановка,Пл. Академика Климова,Пл. Академика Климова,"Кантемировская улица, Большой Сампсониевский проспект","18, 31","59.984691330608,30.3368397"
2728,Троллейбус,Остановка,Гамбургская пл,Гамбургская пл,"проспект Славы, Гамбургская площадь",27,"59.8662528066141,30.4170876"
2729,Троллейбус,Остановка,Искровский пр,Искровский пр,"улица Коллонтай, улица Бадаева",33,"59.9164002403734,30.4554958"
2730,Троллейбус,Остановка,Белоостровская ул,Белоостровская ул,"Кантемировская улица, площадь Академика Климова",31,"59.983597976463,30.3327103"
2731,Троллейбус,Остановка,Ул. Антонова-Овсеенко,Ул. Антонова-Овсеенко,"проспект Большевиков, улица Антонова-Овсеенко",43,"59.9105691296468,30.478899"
2732,Троллейбус,Остановка,Дальневосточный пр,Дальневосточный пр,"улица Коллонтай, Дальневосточный проспект",33,"59.9128051375762,30.4404125"
2733,Троллейбус,Остановка,Выборгская наб,Выборгская наб,"Кантемировская улица, Красногвардейский переулок",31,"59.9814965850636,30.3281136"
2734,Троллейбус,Остановка,Ивановская ул,Ивановская ул,"Ивановская улица, улица Седова",27,"59.8734698441838,30.4382229"
2735,Троллейбус,Остановка,Ул. Еремеева,Ул. Еремеева,Дальневосточный проспект,33,"59.9164721384577,30.430006"
2736,Троллейбус,Остановка,Ул. Академика Павлова,Ул. Академика Павлова,"проспект Медиков, улица Академика Павлова",31,"59.9746516164221,30.3166962"
2737,Троллейбус,Остановка,Зольная ул,Зольная ул,"Дальневосточный проспект, Зольная улица",33,"59.918183951611,30.4261093"
2738,Троллейбус,Остановка,Ул. Профессора Попова,Ул. Профессора Попова,"проспект Медиков, улица Профессора Попова",31,"59.9706150530812,30.3140335"
2739,Троллейбус,Остановка,Гранитная ул,Гранитная ул,"Новочеркасский проспект, Дальневосточный проспект",33,"59.9208610503639,30.4219494"
2740,Троллейбус,Остановка,"Ст. метро ""Улица Дыбенко""","Ст. метро ""Улица Дыбенко""","проспект Большевиков, улица Дыбенко",43,"59.9071994243433,30.4825516"
2741,Троллейбус,Остановка,"Ст. метро ""Петроградская""","Ст. метро ""Петроградская""","Большой проспект П.С., Петропавловская улица",31,"59.9667455059725,30.3132954"
2742,Троллейбус,Остановка,Рижская ул,Рижская ул,"Новочеркасский, Рижская",33,"59.9229046747681,30.4190807"
2743,Троллейбус,Остановка,Ул. Антонова-Овсеенко,Ул. Антонова-Овсеенко,"проспект Большевиков, улица Антонова-Овсеенко",43,"59.9111957749295,30.478756"
2744,Троллейбус,Остановка,Таллинская ул,Таллинская ул,"Новочеркасский проспект, Таллинская улица",33,"59.9244860866683,30.4162903"
2745,Троллейбус,Остановка,Ул. Подвойского,Ул. Подвойского,"улица Подвойского, проспект Большевиков",33,"59.9133632600179,30.477705"
2746,Троллейбус,Остановка,"Ст. метро ""Петроградская""","Ст. метро ""Петроградская""","Большой проспект П.С., площадь Льва Толстого",31,"59.9662361414562,30.313118"
2747,Троллейбус,Остановка,Рижская ул,Рижская ул,"Новочеркасский проспект, Рижская улица",33,"59.9219325140295,30.4197273"
2748,Троллейбус,Остановка,Товарищеский пр,Товарищеский пр,"улица Подвойского, Товарищеский проспект",33,"59.9152806643937,30.4859791"
2749,Троллейбус,Остановка,Наб. реки Карповки,Наб. реки Карповки,"проспект Медиков, улица Литераторов",31,"59.9686393160768,30.314312"
2750,Троллейбус,Остановка,Пр. Солидарности (высадка),Пр. Солидарности,"улица Подвойского, проспект Солидарности",33,"59.9178415960434,30.4968319"
2751,Троллейбус,Остановка,Гранитная ул,Гранитная ул,"Новочеркасский проспект, Дальневосточный проспект",33,"59.9197621651121,30.4227486"
2752,Троллейбус,Остановка,Ул. Профессора Попова,Ул. Профессора Попова,"проспект Медиков, улица Профессора Попова",31,"59.9714490658503,30.3149624"
2753,Троллейбус,Остановка,Зольная ул,Зольная ул,"Дальневосточный проспект, Зольная улица",33,"59.917906643873,30.4258366"
2754,Троллейбус,Остановка,Ул. Академика Павлова,Ул. Академика Павлова,"проспект Медиков, улица Академика Павлова",31,"59.9751232572564,30.3174305"
2755,Троллейбус,Остановка,Ул. Еремеева,Ул. Еремеева,Дальневосточный проспект,33,"59.9159620010627,30.4303303"
2756,Троллейбус,Остановка,Выборгская наб,Выборгская наб,"Кантемировская улица, Красногвардейский переулок",31,"59.9816400989641,30.3288231"
2757,Троллейбус,Остановка,Ул. Коллонтай,Ул. Коллонтай,"Коллонтай, Дальневосточный",33,"59.9125346331393,30.4405994"
2758,Троллейбус,Остановка,Белоостровская ул,Белоостровская ул,"Кантемировская улица, площадь Академика Климова",31,"59.9829351129285,30.3317127"
2759,Троллейбус,Остановка,Искровский пр,Искровский пр,"Коллонтай, Искровский",33,"59.916609086759,30.45788"
2760,Троллейбус,Остановка,Клочков пер,Клочков пер,"улица Коллонтай, Клочков переулок",33,"59.9180983630501,30.4639587"
2761,Троллейбус,Остановка,"Ст. метро ""Лесная""","Ст. метро ""Лесная""","Кантемировская, Парголовская","18, 31","59.9851423286717,30.3441753"
2762,Троллейбус,Остановка,Гамбургская пл,Гамбургская пл,"Софийская улица, Гамбургская площадь",35,"59.8667362770789,30.4142799"
2763,Троллейбус,Остановка,"Ст. метро ""Проспект Большевиков""","Ст. метро ""Проспект Большевиков""","проспект Большевиков, улица Коллонтай","33, 43","59.9191185643302,30.4707985"
2764,Троллейбус,Остановка,"Софийская ул., 55","Софийская ул., 55",Софийская улица,35,"59.8697809508384,30.4097042"
2765,Троллейбус,Остановка,Полюстровский пр,Полюстровский пр,"Кантемировская, Полюстровский","18, 31","59.986211716186,30.3551769"
2766,Троллейбус,Остановка,"Софийская ул., 43","Софийская ул., 43",Софийская улица,35,"59.8732915799385,30.4044704"
2767,Троллейбус,Остановка,Пр. Маршала Блюхера,Пр. Маршала Блюхера,"Кушелевская дорога, проспект Маршала Блюхера",31,"59.9859691424953,30.3651466"
2768,Троллейбус,Остановка,Ул. Белы Куна,Ул. Белы Куна,"улица Белы Куна, Софийская площадь",35,"59.8775045311691,30.3960018"
2769,Троллейбус,Остановка,Ул. Жака Дюкло,Ул. Жака Дюкло,"улица Курчатова, улица Жака Дюкло",34,"60.0082272676524,30.3604946"
2770,Троллейбус,Остановка,Пражская ул,Пражская ул,"Пражская улица, проспект Славы","36, 42","59.8626214101971,30.4029102"
2771,Троллейбус,Остановка,Пр. Тореза,Пр. Тореза,"Институтский, Тореза",34,"60.0062025580595,30.3540001"
2772,Троллейбус,Остановка,Администрация Фрунзенского района,Администрация Фрунзенского района,"Пражская улица, улица Турку","36, 42","59.8647817787856,30.4002914"
2773,Троллейбус,ДС,"Конечная станция ""Ул. Пионерстроя"" (посадки/высадки нет)","Конечная станция ""Ул. Пионерстроя"" (посадки/высадки нет)","Пионерстроя ул., Ветеранов пр",37,"59.8364046200511,30.126318"
2774,Троллейбус,Остановка,М. Объездная ул,М. Объездная ул,"Институтский, Объездная М",34,"60.0039523559333,30.3496685"
2775,Троллейбус,Остановка,Ул. Турку,Ул. Турку,"Будапештская улица, улица Турку","35, 39","59.8672574572257,30.3709888"
2776,Троллейбус,Остановка,"Будапештская ул., 19","Будапештская ул., 19",Будапештская улица,"35, 39","59.8642502725441,30.3733253"
2777,Троллейбус,Остановка,"Малая Морская ул., ст. метро ""Адмиралтейская""","Малая Морская ул., ст. метро ""Адмиралтейская""","Невский проспект, Дворцовая площадь","1, 10, 11, 7","59.9369772756347,30.3135414"
2778,Троллейбус,Остановка,Ул. Ленина,Ул. Ленина,"Большой пр. П.С., Ленина","1, 31, 9","59.9615557746999,30.3049545"
2779,Троллейбус,Остановка,Университетская наб,Университетская наб,"Университетская набережная, Таможенный переулок","1, 10, 11","59.9416782197838,30.3051262"
2780,Троллейбус,Остановка,Университет,Университет,"Университетская, Филологический","1, 10, 11, 28","59.9396049597486,30.2995014"
2781,Троллейбус,Остановка,Шамшева ул,Шамшева ул,"Большой пр. П.С., Ораниенбаумская","1, 31, 9","59.9595042733264,30.3017006"
2782,Троллейбус,Остановка,Румянцевский сад,Румянцевский сад,"1-я и Кадетская линии, Румянцевская","1, 10, 11, 28","59.9395023197456,30.2931023"
2783,Троллейбус,Остановка,Введенская ул,Введенская ул,"Большой пр. П.С., Ропшинская","1, 31, 9","59.9575039371831,30.2984028"
2784,Троллейбус,Остановка,Пр. Наставников,Пр. Наставников,"Косыгина, Наставников",22,"59.9450033760684,30.4920998"
2785,Троллейбус,Остановка,Ул. Красного Курсанта,Ул. Красного Курсанта,"Большой пр. П.С., Красного Курсанта","1, 31, 9","59.9543031481689,30.2932014"
2786,Троллейбус,Остановка,"1-я и Кадетская линии В.О., угол Большого пр. В.О","1-я и Кадетская линии В.О., угол Большого пр. В.О","1-я и Кадетская линии, Большой ВО Проспект","10, 11, 28","59.9408024029756,30.2916985"
2787,Троллейбус,Остановка,"1-я и Кадетская линии В.О., угол Среднего пр. В.О","1-я и Кадетская линии В.О., угол Среднего пр. В.О","Кадетская и 1-я линии В.О., улица Репина",28,"59.9446920844334,30.2867012"
2788,Троллейбус,Остановка,"Стадион ""Петровский"". Ст. метро ""Спортивная""","Стадион ""Петровский"". Ст. метро ""Спортивная""","Большой пр. П.С., Ждановская",9,"59.9517005694067,30.2889004"
2789,Троллейбус,Остановка,"Пр. Косыгина, 30","Пр. Косыгина, 30","проспект Косыгина, Белорусская улица",22,"59.9452359876897,30.4982185"
2790,Троллейбус,Остановка,"Ст. метро ""Спортивная""","Ст. метро ""Спортивная""","Добролюбова, Храмов","1, 31, 7, 9","59.9515056242682,30.2929001"
2791,Троллейбус,Остановка,"Ст. метро ""Площадь Восстания""","Ст. метро ""Площадь Восстания""","Невский проспект, Пушкинская улица","1, 10, 22","59.9314030220582,30.3569698"
2792,Троллейбус,Остановка,Пер. Талалихина,Пер. Талалихина,"Талалихина, Блохина","1, 31, 9","59.9519057735769,30.2971992"
2793,Троллейбус,Остановка,Ул. Коммуны,Ул. Коммуны,"улица Коммуны, Колтушский путепровод",22,"59.9445210438293,30.5051556"
2794,Троллейбус,Остановка,Пионерская ул,Пионерская ул,"Большая Пушкарская улица, улица Лизы Чайкиной","1, 31, 9","59.9554624440013,30.2984028"
2795,Троллейбус,Остановка,"Заневский пр., 32","Заневский пр., 32","Заневский проспект, Республиканская улица",22,"59.9314851541407,30.4246006"
2796,Троллейбус,Остановка,Введенская ул,Введенская ул,"Большая Пушкарская улица, улица Воскова","1, 31, 9","59.95765097455,30.3019714"
2797,Троллейбус,Остановка,"Пр. Шаумяна. Театр ""Буфф""","Пр. Шаумяна. Театр ""Буфф""","Заневский, Шаумяна",22,"59.9298253621714,30.4153824"
2798,Троллейбус,Остановка,Пр. Наставников,Пр. Наставников,"Хасанская улица, проспект Наставников",22,"59.9359610450891,30.489542"
2799,Троллейбус,Остановка,Суворовский пр. / Невский пр,Суворовский пр. / Невский пр,"Невский, Бакунина","1, 10, 16, 22","59.9295721082593,30.3683014"
2800,Троллейбус,Остановка,Ленская ул,Ленская ул,"Коммуны, Ленская",22,"59.9389035800632,30.5038986"
2801,Троллейбус,Остановка,"Ст. метро ""Новочеркасская""","Ст. метро ""Новочеркасская""","Заневский проспект, Заневская площадь","1, 22","59.9285761856109,30.4090309"
2802,Троллейбус,Остановка,Румянцевский сад,Румянцевский сад,"1-я и Кадетская линии, Румянцевская","10, 11, 28","59.9390028005293,30.2933979"
2803,Троллейбус,Остановка,"Большая Пушкарская ул., угол ул. Ленина","Большая Пушкарская ул., угол ул. Ленина","Большая Пушкарская улица, улица Ленина","1, 31, 9","59.9612822485227,30.3078403"
2804,Троллейбус,Остановка,Университет,Университет,"Университетская набережная, Таможенный переулок","10, 11","59.9406347635269,30.3031559"
2805,Троллейбус,Остановка,Ординарная ул,Ординарная ул,"Ординарная, Большой пр. П.С","1, 9","59.9642054426432,30.3109016"
2806,Троллейбус,Остановка,"Ст. метро ""Площадь Александра Невского""","Ст. метро ""Площадь Александра Невского""","Невский проспект, Чернорецкий переулок","1, 22","59.9242499065617,30.3839264"
2807,Троллейбус,Остановка,Белорусская ул,Белорусская ул,"Хасанская улица, Белорусская улица",22,"59.9350919208619,30.5011864"
2808,Троллейбус,Остановка,Исполкомская ул,Исполкомская ул,"Невский проспект, Исполкомская улица","1, 16, 22","59.926433652731,30.3772354"
2809,Троллейбус,Остановка,"Малая Морская ул., ст. метро ""Адмиралтейская""","Малая Морская ул., ст. метро ""Адмиралтейская""","Невский проспект, Малая Морская улица","1, 10, 11, 17, 7","59.9368130384643,30.3136921"
2810,Троллейбус,Остановка,Полтавская ул,Полтавская ул,"Невский проспект, Харьковская улица","1, 16, 22","59.9282750072383,30.3725262"
2811,Троллейбус,Остановка,"Ул. Коммуны, 10, по требованию","Ул. Коммуны, 10, по требованию","Коммуны, Хасанская",22,"59.9365050915774,30.5037994"
2812,Троллейбус,Остановка,Полтавская ул,Полтавская ул,"Невский, Полтавская","1, 16, 22","59.9283126546844,30.371973"
2813,Троллейбус,Остановка,"Ст. метро ""Невский проспект""","Ст. метро ""Невский проспект""","Невский проспект, набережная канала Грибоедова","1, 10, 22","59.9353964591084,30.3250866"
2814,Троллейбус,Остановка,"Ул. Коммуны, 10 по требованию","Ул. Коммуны, 10 по требованию","улица Коммуны, Хасанская улица",22,"59.9361766117464,30.5033665"
2815,Троллейбус,Остановка,"Ст. метро ""Площадь Восстания""","Ст. метро ""Площадь Восстания""","Невский проспект, Пушкинская улица","1, 10, 11, 22, 5, 7","59.9314851541407,30.3587608"
2816,Троллейбус,Остановка,"Ст. метро ""Гостиный двор""","Ст. метро ""Гостиный двор""","Невский проспект, Садовая улица","1, 10, 22","59.9344109769133,30.3330994"
2817,Троллейбус,Остановка,Литейный пр,Литейный пр,"Невский, Литейный","1, 10, 11, 22, 5, 7","59.9329053225732,30.3471012"
2818,Троллейбус,Остановка,Ленская ул,Ленская ул,"улица Коммуны, Ленская улица",22,"59.9397212847012,30.5045033"
2819,Троллейбус,Остановка,"Ст. метро ""Гостиный двор""","Ст. метро ""Гостиный двор""","Невский проспект, площадь Островского","1, 10, 11, 7","59.934205664437,30.336937"
2820,Троллейбус,Остановка,"Ст. метро ""Невский проспект""","Ст. метро ""Невский проспект""","Невский проспект, набережная канала Грибоедова","1, 10, 11, 7","59.9353143367105,30.3280201"
2821,Троллейбус,Остановка,Дворец творчества юных,Дворец творчества юных,"Невский, Островского","11, 5, 7","59.9337026434988,30.3387985"
2822,Троллейбус,Остановка,Пр. Косыгина,Пр. Косыгина,"улица Коммуны, Колтушский путепровод",22,"59.9460398535209,30.5043125"
2823,Троллейбус,Остановка,Большая Конюшенная ул,Большая Конюшенная ул,"Невский проспект, Большая Конюшенная улица","1, 10, 11, 22, 5, 7","59.9361115997275,30.3215008"
2824,Троллейбус,Остановка,Белорусская ул,Белорусская ул,"Хасанская улица, Белорусская улица",22,"59.9354204114361,30.4984722"
2825,Троллейбус,Остановка,"Пр. Косыгина, 30","Пр. Косыгина, 30",Косыгина,22,"59.9454036038757,30.4973011"
2826,Троллейбус,Остановка,Пр. Наставников,Пр. Наставников,"проспект Косыгина, проспект Наставников",22,"59.9453522928884,30.4897938"
2827,Троллейбус,Остановка,Пр. Наставников,Пр. Наставников,"Хасанская улица, проспект Наставников",22,"59.9360979129704,30.4893837"
2828,Троллейбус,Остановка,Ул. Осипенко,Ул. Осипенко,"проспект Косыгина, улица Осипенко",22,"59.9452052009512,30.4836235"
2829,Троллейбус,Остановка,Индустриальный пр,Индустриальный пр,"Косыгина, Индустриальный",22,"59.9448015499569,30.476841"
2830,Троллейбус,Остановка,Ул. Передовиков,Ул. Передовиков,"Заневский, Передовиков",22,"59.9415379538039,30.464386"
2831,Троллейбус,Остановка,Исполкомская ул,Исполкомская ул,"Невский проспект, улица Профессора Ивашенцова","1, 22","59.9256121976818,30.3801022"
2832,Троллейбус,Остановка,Ладожский вокзал,Ладожский вокзал,"Зольная, Заневский",22,"59.9320634951304,30.4397297"
2833,Троллейбус,Остановка,Пр. Энергетиков,Пр. Энергетиков,"Заневский проспект, проспект Энергетиков",22,"59.9333193843302,30.4343605"
2834,Троллейбус,Остановка,Ул. Стахановцев,Ул. Стахановцев,"Заневский проспект, улица Стахановцев","1, 22","59.9280046288702,30.4079304"
2835,Троллейбус,Остановка,"Ст. метро ""Новочеркасская""","Ст. метро ""Новочеркасская""","Заневский, Новочеркасский",22,"59.9292024909716,30.4138012"
2836,Троллейбус,Остановка,"Пр. Шаумяна. Театр ""Буфф""","Пр. Шаумяна. Театр ""Буфф""","Заневский, Шаумяна",22,"59.9301025703184,30.4185009"
2837,Троллейбус,Остановка,"Заневский пр., 32","Заневский пр., 32","Заневский проспект, Заневский мост",22,"59.9314509324644,30.4258022"
2838,Троллейбус,Остановка,"Ст. метро ""Ладожская""","Ст. метро ""Ладожская""","Заневский, Карла Фаберже",22,"59.9336615802283,30.4373817"
2839,Троллейбус,Остановка,Почтамтский пер,Почтамтский пер,"Конногвардейский, Якубовича","22, 5","59.9330011389766,30.2985992"
2840,Троллейбус,Остановка,Ул. Якубовича,Ул. Якубовича,"улица Якубовича, Исаакиевская площадь","22, 5","59.9338155672307,30.3034763"
2841,Троллейбус,Остановка,Ул. Есенина (посадка),Ул. Есенина,"Придорожная аллея, улица Есенина",4,"60.0580479220855,30.3480396"
2842,Троллейбус,Остановка,М. Морская ул,М. Морская ул,"Малая Морская улица, Вознесенский проспект","22, 5","59.9344143987772,30.3097477"
2843,Троллейбус,Остановка,"Ст. метро ""Адмиралтейская""","Ст. метро ""Адмиралтейская""","Малая Морская улица, Кирпичный переулок","22, 5","59.9361013346602,30.3143444"
2844,Троллейбус,Остановка,Пр. Художников,Пр. Художников,"проспект Художников, Придорожная аллея",4,"60.0551739252852,30.3590336"
2845,Троллейбус,Остановка,Ул. Маршала Тухачевского,Ул. Маршала Тухачевского,"улица Маршала Тухачевского, улица Буренина","1, 3, 7","59.9702937474758,30.4237461"
2846,Троллейбус,Остановка,3-я Советская ул,3-я Советская ул,"Суворовский проспект, 4-я Советская улица","11, 16, 5, 7","59.9331927709532,30.3689137"
2847,Троллейбус,Остановка,Сиреневый бульвар,Сиреневый бульвар,"проспект Художников, Сиреневый бульвар",4,"60.0525929106108,30.3568687"
2848,Троллейбус,Остановка,"Пр. Художников, угол пр. Просвещения","Пр. Художников, угол пр. Просвещения","проспект Художников, проспект Просвещения","21, 4","60.0483100949239,30.3533878"
2849,Троллейбус,Остановка,Поэтический бульвар,Поэтический бульвар,"проспект Художников, Поэтический бульвар","21, 4","60.0430751667911,30.3491364"
2850,Троллейбус,Остановка,Сквер Галины Старовойтовой,Сквер Галины Старовойтовой,"Суворовский проспект, улица Моисеенко","11, 16, 5, 7","59.9382056070156,30.375"
2851,Троллейбус,Остановка,Заячий пер,Заячий пер,"Суворовский, Таврическая","11, 16, 5, 7","59.9411034676127,30.3801022"
2852,Троллейбус,Остановка,Пр. Луначарского,Пр. Луначарского,"проспект Луначарского, проспект Художников",4,"60.0396677546698,30.3477764"
2853,Троллейбус,Остановка,"Гражданский пр., угол Суздальского пр","Гражданский пр., угол Суздальского пр","Гражданский, Суздальский","21, 38, 6","60.0423248159295,30.4265594"
2854,Троллейбус,Остановка,Тульская ул,Тульская ул,"Суворовский проспект, Тульская улица","11, 12, 15, 5","59.9440865967279,30.3860779"
2855,Троллейбус,Остановка,Ул. Руднева,Ул. Руднева,"проспект Луначарского, улица Руднева",4,"60.0372526791478,30.3598232"
2856,Троллейбус,Остановка,Смольный,Смольный,"улица Бонч-Бруевича, Смольный проспект","11, 12, 15, 5","59.9437000366467,30.391777"
2857,Троллейбус,Остановка,"Пр. Культуры, угол пр. Луначарского","Пр. Культуры, угол пр. Луначарского","проспект Культуры, проспект Луначарского",4,"60.0355504223676,30.3657894"
2858,Троллейбус,Остановка,Суворовский пр,Суворовский пр,"Суворовский проспект, Тульская улица","11, 12, 15, 16, 33, 5, 7","59.9444286815362,30.3861485"
2859,Троллейбус,Остановка,Ул. Академика Байкова,Ул. Академика Байкова,"Тихорецкий проспект, улица Академика Байкова","21, 4","60.029477529247,30.3649387"
2860,Троллейбус,Остановка,Заячий пер,Заячий пер,"Суворовский, Таврическая","11, 16, 5, 7","59.9408024029756,30.3791008"
2861,Троллейбус,Остановка,"Тихорецкий пр., угол пр. Науки","Тихорецкий пр., угол пр. Науки","Тихорецкий проспект, Зелёная улица","13, 21, 4","60.0173898330755,30.3677387"
2862,Троллейбус,Остановка,"Ст. метро ""Новочеркасская""","Ст. метро ""Новочеркасская""","Новочеркасский, Заневский","1, 33","59.9302531515507,30.4112301"
2863,Троллейбус,Остановка,Сквер Галины Старовойтовой,Сквер Галины Старовойтовой,"Суворовский проспект, Госпитальная улица","11, 16, 5, 7","59.9384690593527,30.3749065"
2864,Троллейбус,Остановка,5-я Советская ул,5-я Советская ул,"Суворовский проспект, 6-я Советская улица","11, 16, 5, 7","59.934955048829,30.3708744"
2865,Троллейбус,Остановка,"Тихорецкий пр., 7","Тихорецкий пр., 7","Тихорецкий проспект, Яшумов переулок","13, 21, 4","60.0129727284377,30.3687496"
2866,Троллейбус,Остановка,3-я Советская ул,3-я Советская ул,"Суворовский проспект, 3-я Советская улица","11, 16, 5, 7","59.932347528729,30.3682137"
2867,Троллейбус,Остановка,Апрельская ул,Апрельская ул,"Апрельская улица, улица Маршала Тухачевского","1, 3, 7","59.968259879044,30.4261265"
2868,Троллейбус,Остановка,"Ст. метро ""Адмиралтейская""","Ст. метро ""Адмиралтейская""","Морская М., Кирпичный","22, 5","59.9360055272125,30.3135986"
2869,Троллейбус,Остановка,Республиканская ул,Республиканская ул,"Новочеркасский, Республиканская","1, 33","59.9329532308095,30.4083843"
2870,Троллейбус,Остановка,"Ст. метро ""Политехническая""","Ст. метро ""Политехническая""","Политехническая улица, улица Гидротехников","13, 21, 4","60.0090261914605,30.3695965"
2871,Троллейбус,Остановка,Исаакиевская пл,Исаакиевская пл,"Малая Морская улица, Гороховая улица","22, 5","59.9349584706367,30.3108063"
2872,Троллейбус,Остановка,Совмещённый трамвайно-троллейбусный парк,Совмещённый трамвайно-троллейбусный парк,"Гражданский проспект, Токсовская улица","21, 38, 6","60.0398826469018,30.4241428"
2873,Троллейбус,Остановка,Почтамтский пер,Почтамтский пер,"Конногвардейский, Почтамтский","22, 5","59.9336034071747,30.299799"
2874,Троллейбус,Остановка,Пл. Труда. Центральный военно-морской музей,Пл. Труда. Центральный военно-морской музей,"площадь Труда, улица Якубовича","22, 5","59.9312113797416,30.2936554"
2875,Троллейбус,Остановка,"Пр. Металлистов, 110","Пр. Металлистов, 110",проспект Металлистов,"3, 43","59.970597962436,30.4020767"
2876,Троллейбус,Остановка,Большеохтинский мост,Большеохтинский мост,"Красногвардейская площадь, Новочеркасский проспект","16, 33, 7","59.9425232242299,30.4071693"
2877,Троллейбус,Остановка,Замшина ул,Замшина ул,"проспект Металлистов, Замшина улица","3, 43","59.9718934083398,30.3968105"
2878,Троллейбус,Остановка,"Ст. метро ""Гражданский проспект""","Ст. метро ""Гражданский проспект""","Гражданский, Просвещения","21, 38, 6","60.0348340155308,30.4192581"
2879,Троллейбус,Остановка,"Гражданский пр., 110","Гражданский пр., 110",Гражданский,"21, 38, 6","60.0302793515718,30.4147606"
2880,Троллейбус,Остановка,Пр. Металлистов / Кондратьевский пр,Пр. Металлистов / Кондратьевский пр,"Кондратьевский, Металлистов","3, 38, 43, 8","59.973721985833,30.3892708"
2881,Троллейбус,Остановка,Пл. Калинина,Пл. Калинина,"Кондратьевский проспект, улица Васенко","3, 38, 43, 8","59.9711551129268,30.3869629"
2882,Троллейбус,Остановка,Пр. Луначарского,Пр. Луначарского,"Гражданский, Луначарского","21, 38, 6","60.0264713753099,30.4108582"
2883,Троллейбус,Остановка,Ул. Ватутина,Ул. Ватутина,"Кондратьевский, Ватутина","3, 38","59.962933628478,30.3798313"
2884,Троллейбус,Остановка,Биржевая пл,Биржевая пл,"Биржевая, Биржевой",7,"59.9441276470913,30.3056412"
2885,Троллейбус,Остановка,Социальный фонд,Социальный фонд,"Кондратьевский проспект, улица Ватутина","3, 38","59.9618224605486,30.3781757"
2886,Троллейбус,Остановка,Северная пл,Северная пл,"Гражданский, Северный",31,"60.0233932816754,30.4075184"
2887,Троллейбус,Остановка,"Завод ""Красный Выборжец"", по требованию","Завод ""Красный Выборжец"", по требованию",Кондратьевский,"3, 38","59.9602257324569,30.3766727"
2888,Троллейбус,Остановка,Пр. Добролюбова,Пр. Добролюбова,"Добролюбова, Провиантский пер",7,"59.9494535006186,30.3028622"
2889,Троллейбус,Остановка,Северный пр,Северный пр,"Гражданский проспект, Северная площадь","21, 31, 6","60.020120359897,30.4047031"
